event_id,telegraph_ts,source,telegraph_text
TRT001,2023-07-29T03:07:20+0000,Trump (Truth Social),RT @SpeakerMcCarthyGood news today! The Supreme Court agreed with the House that the Mountain Valley Pipeline can and should be built. That’s the right call for American workers and American energy independence.
TRT002,2023-08-02T19:58:28+0000,Trump (Truth Social),Fitch just downgraded U.S. Debt. First time in many years. WOW!
TRT003,2023-09-08T16:27:11+0000,Trump (Truth Social),Crooked Joe Biden just stopped Oil & Gas drilling in large parts of Alaska just as prices surge. WORST (AND MOST CORRUPT!) PRESIDENT IN USA HISTORY!!!
